

 NAS Parallel Benchmarks 3.3 -- CG Benchmark

 Size:    1500000
 Iterations:   100
 Number of active processes:    64
 Number of nonzeroes per row:       21
 Eigenvalue shift: .500E+03

   iteration           ||r||                 zeta
        1       0.73652606305295E-12   499.9996989885352
        2       0.49188800807811E-15    49.1792921222619
        3       0.51268823250306E-15    49.7621417780887
        4       0.53063263481833E-15    50.2476108448531
        5       0.54607917301607E-15    50.6504113318695
        6       0.55918210283744E-15    50.9835679329914
        7       0.57097575570363E-15    51.2584179093568
        8       0.57985530182142E-15    51.4846993919612
        9       0.58689958154537E-15    51.6706894462900
       10       0.59325351945130E-15    51.8233647190078
       11       0.59811079545936E-15    51.9485666805631
       12       0.60170920506405E-15    52.0511603649689
       13       0.60510895328857E-15    52.1351803974372
       14       0.60815506407212E-15    52.2039614064558
       15       0.60878128421089E-15    52.2602520412739
       16       0.61124111634234E-15    52.3063130997455
       17       0.61283743714198E-15    52.3440009815571
       18       0.61381611493002E-15    52.3748380152852
       19       0.61386593078629E-15    52.4000713044073
       20       0.61446346821866E-15    52.4207216938473
       21       0.61517409312147E-15    52.4376243380875
       22       0.61623382050508E-15    52.4514621958455
       23       0.61635543497802E-15    52.4627936097217
       24       0.61719805013182E-15    52.4720749669665
       25       0.61736090845900E-15    52.4796792873369
       26       0.61723109287026E-15    52.4859114504211
       27       0.61823461458642E-15    52.4910206572304
       28       0.61832106321128E-15    52.4952106205632
       29       0.61856214487047E-15    52.4986478935701
       30       0.61781530321546E-15    52.5014686735275
       31       0.61843470568265E-15    52.5037843587094
       32       0.61852147451740E-15    52.5056860859121
       33       0.61852054090060E-15    52.5072484353804
       34       0.61818785539233E-15    52.5085324557548
       35       0.61891776365893E-15    52.5095881341493
       36       0.61921033062491E-15    52.5104564131312
       37       0.61898361881300E-15    52.5111708380524
       38       0.61943676139048E-15    52.5117589027089
       39       0.61986971091788E-15    52.5122431486995
       40       0.61797248083442E-15    52.5126420639628
       41       0.61949525399006E-15    52.5129708171084
       42       0.61887067059524E-15    52.5132418579141
       43       0.61841497777063E-15    52.5134654084148
       44       0.61932803127776E-15    52.5136498646945
       45       0.61836380637417E-15    52.5138021256263
       46       0.61954538592861E-15    52.5139278620599
       47       0.61927432296253E-15    52.5140317372095
       48       0.61934075066997E-15    52.5141175871793
       49       0.61981240498604E-15    52.5141885688984
