

 NAS Parallel Benchmarks 3.3 -- CG Benchmark

 Size:     150000
 Iterations:    75
 Number of active processes:     2
 Number of nonzeroes per row:       15
 Eigenvalue shift: .110E+03

   iteration           ||r||                 zeta
        1       0.34918028513489E-12   109.9994423237398
        2       0.93261202935200E-15    27.3920437146530
        3       0.94002966917904E-15    28.0339761840276
        4       0.94986672029943E-15    28.4191507551296
        5       0.95373147965057E-15    28.6471670038882
        6       0.95933824815541E-15    28.7812969418424
        7       0.95552953080657E-15    28.8600458537354
        8       0.95935583896459E-15    28.9063145572688
        9       0.96295546883800E-15    28.9335649214633
       10       0.95984970808734E-15    28.9496695449005
       11       0.96286896507553E-15    28.9592263353758
       12       0.96132779695897E-15    28.9649233484888
       13       0.96029237140078E-15    28.9683359248936
       14       0.95995316106402E-15    28.9703903960005
       15       0.96086676866082E-15    28.9716336228368
       16       0.96262162662325E-15    28.9723898600848
       17       0.95995080306971E-15    28.9728522692217
       18       0.96193291189142E-15    28.9731364797786
       19       0.95899160435305E-15    28.9733120569290
       20       0.96457382743280E-15    28.9734210663758
       21       0.96345263086780E-15    28.9734890760540
       22       0.95991244026784E-15    28.9735317064871
       23       0.96179771645883E-15    28.9735585497255
       24       0.95922390194743E-15    28.9735755256645
       25       0.95815516189961E-15    28.9735863059383
       26       0.95650780373655E-15    28.9735931787384
       27       0.96122729736496E-15    28.9735975767374
       28       0.96445016745281E-15    28.9736004009986
       29       0.95990409698108E-15    28.9736022206758
       30       0.96122924599343E-15    28.9736033967627
       31       0.96146664491229E-15    28.9736041591164
       32       0.96021527445782E-15    28.9736046546412
       33       0.96021180308293E-15    28.9736049775610
       34       0.95729744671819E-15    28.9736051885093
       35       0.95819450134146E-15    28.9736053266252
       36       0.95868554202208E-15    28.9736054172461
       37       0.95768757616458E-15    28.9736054768224
       38       0.96008098193957E-15    28.9736055160636
       39       0.95588177574636E-15    28.9736055419569
       40       0.95596041801372E-15    28.9736055590703
       41       0.95746930735378E-15    28.9736055703979
       42       0.95997167085028E-15    28.9736055779079
       43       0.95723880205007E-15    28.9736055828930
